Totales,sintomaticos,Casos totales,Fallecidos,Vacunados,Recuperados,Efectividad,Ac novac,Ac vac,Fallecidos novac,Fallecidos vac
2021-07-02,2825,1101349,32809,10509233,1472192,1,1225724.959,140582.3878,27051.97956,2939.22449
2021-07-03,2659,1104008,32973,10528229,1478302,1,1226885.347,141761.7755,27102.8163,2978.877551
2021-07-04,2253,1106261,33103,10530331,1483915,1,1227990.959,142909.9592,27152.12242,3017.510204
2021-07-05,1803,1108064,33249,10626953,1488974,1,1229041.796,144026.9388,27199.89793,3055.122449
2021-07-06,1309,1109373,33288,10705815,1492375,1,1230037.857,145112.7143,27246.14283,3091.714286
2021-07-07,1437,1110810,33328,10789304,1495081,1,1230979.143,146167.2857,27290.85711,3127.285714
2021-07-08,2160,1112970,33514,10884003,1498358,1,1231870,147184.3878,27334.8163,3163.163265
2021-07-09,1882,1114852,33636,10968945,1503835,1,1232710.429,148164.0204,27378.02038,3199.346939
2021-07-10,1748,1116600,33767,10990768,1508875,1,1233500.429,149106.1837,27420.46936,3235.836735
2021-07-11,1442,1118042,33877,10993305,1513226,1,1234240,150010.8776,27462.16324,3272.632653
2021-07-12,1310,1119352,33980,11119707,1517157,1,1234929.143,150878.102,27503.10201,3309.734694
2021-07-13,910,1120262,34016,11220570,1519758,1,1235567.857,151707.8571,27543.28569,3347.142857
2021-07-14,966,1121228,34049,11325959,1521853,1,1236156.143,152500.1429,27582.71426,3384.857143
2021-07-15,1512,1122740,34207,11416451,1524350,1,1236724.939,153284,27620.79589,3421.367347
2021-07-16,1301,1124041,34309,11419050,1528304,1,1237274.245,154059.4286,27657.53058,3456.673469
2021-07-17,1148,1125189,34403,11432499,1532058,1,1237804.061,154826.4286,27692.91834,3490.77551
2021-07-18,881,1126070,34514,11433700,1535270,1,1238314.388,155585,27726.95916,3523.673469
2021-07-19,679,1126749,34539,11506736,1538069,1,1238805.224,156335.1429,27759.65303,3555.367347
2021-07-20,625,1127374,34569,11599185,1539896,1,1239276.571,157076.8571,27790.99997,3585.857143
2021-07-21,776,1128150,34611,11669255,1541725,1,1239728.429,157810.1429,27820.99997,3615.142857
2021-07-22,1273,1129423,34792,11710193,1544799,1,1240163.714,158526.8776,27850.24487,3644.346939
2021-07-23,1112,1130535,34875,11766883,1547516,1,1240582.429,159227.0612,27878.73467,3673.469388
2021-07-24,954,1131489,34958,11777029,1550202,1,1240984.571,159910.6939,27906.46936,3702.510204
2021-07-25,948,1132437,35026,11777878,1552452,1,1241370.143,160577.7755,27933.44895,3731.469388
2021-07-26,723,1133160,35119,11818218,1554504,1,1241739.143,161228.3061,27959.67344,3760.346939
2021-07-27,527,1133687,35151,11859212,1555736,1,1242091.571,161862.2857,27985.14283,3789.142857
2021-07-28,638,1134325,35176,11886777,1556954,1,1242427.429,162479.7143,28009.85711,3817.857143
2021-07-29,916,1135241,35295,11967932,1559201,1,1242752.327,163092.9184,28034.24487,3846.44898
2021-07-30,882,1136123,35366,12036026,1561183,1,1243066.265,163701.898,28058.30609,3874.918367
2021-07-31,762,1136885,35448,12046157,1563033,1,1243369.245,164306.6531,28082.04079,3903.265306
2021-08-01,756,1137641,35528,12046596,1564351,1,1243661.265,164907.1837,28105.44895,3931.489796
2021-08-02,584,1138225,35616,12070244,1565267,1,1243942.327,165503.4898,28128.53058,3959.591837
2021-08-03,395,1138620,35640,12095605,1566218,1,1244212.429,166095.5714,28151.28569,3987.571429
2021-08-04,505,1139125,35671,12155261,1567183,1,1244471.571,166683.4286,28173.71426,4015.428571
2021-08-05,863,1139988,35806,12198090,1568907,1,1244725.245,167258.8163,28195.02038,4042.857143
2021-08-06,738,1140726,35880,12229589,1570478,1,1244973.449,167821.7347,28215.20405,4069.857143
2021-08-07,602,1141328,35951,12230501,1571798,1,1245216.184,168372.1837,28234.26528,4096.428571
2021-08-08,452,1141780,36016,12230522,1573161,1,1245453.449,168910.1633,28252.20405,4122.571429
2021-08-09,557,1142337,36107,12251675,1574238,1,1245685.245,169435.6735,28269.02038,4148.285714
2021-08-10,309,1142646,36138,12271081,1574952,1,1245911.571,169948.7143,28284.71426,4173.571429
2021-08-11,430,1143076,36157,12388668,1575760,1,1246132.429,170449.2857,28299.28569,4198.428571
2021-08-12,744,1143820,36243,12467514,1577045,1,1246345.306,170940.5918,28313.71426,4223
2021-08-13,578,1144398,36287,12516312,1578342,1,1246550.204,171422.6327,28327.99997,4247.285714
2021-08-14,541,1144939,36331,12517312,1579440,1,1246747.122,171895.4082,28342.14283,4271.285714
2021-08-15,600,1145539,36380,12517494,1580562,1,1246936.061,172358.9184,28356.14283,4295
