,Cases,Deaths
2021-02-17,775325.1428571428,25852.85714285714
2021-02-18,778730.1428571428,25937.285714285714
2021-02-19,782082.7142857143,26022.571428571428
2021-02-20,785432.7142857143,26107.714285714286
2021-02-21,788754.2857142857,26192.14285714286
2021-02-22,792106.8571428572,26274.571428571428
2021-02-23,795432.2857142857,26357.714285714286
2021-02-24,798797.7142857143,26442.428571428572
2021-02-25,802255.1428571428,26527.571428571428
2021-02-26,805825.1428571428,26614.0
2021-02-27,809478.4285714285,26699.571428571428
2021-02-28,813216.2857142857,26785.571428571428
2021-03-01,817039.2857142857,26874.14285714286
2021-03-02,820924.2857142857,26963.428571428572
2021-03-03,824878.5714285715,27048.0
2021-03-04,828846.4285714285,27134.0
2021-03-05,832920.8571428572,27220.571428571428
2021-03-06,837073.0,27309.285714285714
2021-03-07,841381.5714285715,27399.14285714286
2021-03-08,845776.2857142857,27488.14285714286
2021-03-09,850283.7142857143,27581.14285714286
2021-03-10,854911.8571428572,27682.285714285714
2021-03-11,859682.2857142857,27783.0
2021-03-12,864544.4285714285,27883.285714285714
2021-03-13,869529.5714285715,27982.85714285714
2021-03-14,874576.0,28084.571428571428
2021-03-15,879675.7142857143,28187.428571428572
2021-03-16,884921.1428571428,28292.0
2021-03-17,890244.4285714285,28392.0
2021-03-18,895666.8571428572,28493.571428571428
2021-03-19,901176.5714285715,28596.428571428572
2021-03-20,906849.4285714285,28698.428571428572
2021-03-21,912682.1428571428,28799.714285714286
2021-03-22,918662.5714285715,28904.85714285714
2021-03-23,924687.7142857143,29007.428571428572
2021-03-24,930769.2857142857,29113.285714285714
2021-03-25,936954.0,29220.85714285714
2021-03-26,943278.0,29328.85714285714
2021-03-27,949681.4285714285,29441.14285714286
2021-03-28,956153.4285714285,29554.714285714286
2021-03-29,962780.5714285715,29665.85714285714
2021-03-30,969428.2857142857,29781.0
2021-03-31,976250.4285714285,29897.285714285714
2021-04-01,983199.5714285715,30014.571428571428
2021-04-02,990223.0,30133.85714285714
2021-04-03,997303.7142857143,30253.14285714286
2021-04-04,1004381.1428571428,30376.285714285714
2021-04-05,1011256.5714285715,30501.0
2021-04-06,1018154.8571428572,30624.0
2021-04-07,1024938.2857142857,30747.14285714286
2021-04-08,1031776.0,30876.285714285714
2021-04-09,1038766.8571428572,31006.714285714286
2021-04-10,1045773.1428571428,31139.0
2021-04-11,1052875.142857143,31270.0
2021-04-12,1060062.0,31406.285714285714
2021-04-13,1067337.7142857143,31550.285714285714
2021-04-14,1074658.4285714286,31696.285714285714
