date,DifAcumModTot,DifAcumDatTot,DifFalleModTot,DifFalleDatTot,DifAcumModTotPor,DifAcumDatTotPor,DifFalleModTotPor,DifFalleDatTotPor
2021-08-16,0.0,-627.5161825430114,0.0,-7.406123149281484,0.0,0.0,0.0,0.0
2021-08-17,-3.3716374072246253,-394.5242989535909,-0.004192492029687855,16.227991725572792,-0.8728144971427796,20.794680740070024,-0.029337940146900398,55.400153067444876
2021-08-18,-7.7684757460374385,-289.7702534827404,-0.016032956940762233,38.58687463209935,-1.014451453869348,-17.777810079483906,-0.042327370502295424,-73.56831762672626
2021-08-19,-12.798622330185026,-377.9213328703772,-0.032615828939015046,9.764531551169057,-1.079456996249971,-5.42256086739808,-0.04538761704892173,-10.306811519751937
2021-08-20,-18.061640905216336,-404.3596612785477,-0.0498974445508793,5.840149385956465,-0.991188616946793,0.7732119491653209,-0.033934710827583675,-5.278157544764118
2021-08-21,-22.816463578958064,-400.6504926655907,-0.0624684635840822,3.8848706363423844,-0.8603476405249287,9.008051088815813,-0.005488270660564623,-24.73220298405551
2021-08-22,-26.872747043613344,-358.1802086092066,-0.06444848296814598,-5.037838236399693,-0.7983006952099156,17.41530103680234,0.036903277844727925,-8.07265640796683
2021-08-23,-30.565330166136846,-277.624789995607,-0.051472725688654464,-7.876307778082264,-0.7648055076872758,45.986899169923554,0.08984444494472449,62.08684560617491
2021-08-24,-34.03443944710307,-69.03113172599114,-0.020666062329837587,13.412582734592434,-0.7291322959615913,37.20608571037924,0.15303703143042463,49.18372616889626
2021-08-25,-37.27405132469721,96.27944065397605,0.03053071653994266,29.866432689239446,-0.6899500618164741,-16.341935038364227,0.22703309814235045,-83.78861309519276
2021-08-26,-40.26888531213626,25.344766998663545,0.1046483980389894,2.5126336641187663,-0.5890491211687936,-0.3789498195174243,0.31343142253451134,8.980540126760424
2021-08-27,-42.768761292798445,23.73653515917249,0.2045117818270228,5.373952156216546,-0.3646282510103498,9.52055857964748,0.4150094439219956,-9.315514031354999
2021-08-28,-44.28402509447187,63.300550694111735,0.3335906341599184,2.476582282666641,-0.09229390525863555,9.476202190583123,0.5337456997568181,-44.879789360365834
2021-08-29,-44.6592209872324,101.82348599424586,0.4956892325426452,-11.153412215353455,0.10030894823852408,25.560134161614045,0.6678094167958407,-28.143720258710896
2021-08-30,-44.261703616706654,203.11651618382894,0.6937227981907199,-19.49920838602702,0.25853887039708007,44.5700492572,0.8137867868204234,51.637955741495034
2021-08-31,-43.26355518749915,375.18938316684216,0.9293004126229789,-4.550887001663796,0.41556899130858166,29.132514196935563,0.9727057970258779,71.68692348969947
2021-09-01,-41.697859446750954,484.94890408730134,1.2041432532932959,15.704608288964664,0.5827321097817266,-3.603705616498657,1.1445207593841582,-81.29925437872191
2021-09-02,-39.55487689119764,471.69636807311326,1.5197873422075645,-6.716679282602854,0.8226037348956923,10.595344243819124,1.3308479094689674,-70.8888884511891
2021-09-03,-36.60138641949743,509.7380726521369,1.878025987156434,-25.798603791030473,1.186419374144298,15.898758752730105,1.5338754631892513,1.0448853462403818
2021-09-04,-32.4398103216663,565.5057850247249,2.281044690964336,-25.5240649852567,1.6146400716002864,23.794976104604935,1.7558784815697166,10.324765852793227
