date,DifAcumModB2,DifAcumDatB2,DifFalleModB2,DifFalleDatB2,DifAcumModB2Por,DifAcumDatB2Por,DifFalleModB2Por,DifFalleDatB2Por
2021-10-01,0.0,,0.0,,0.0,0.0,0.0,0.0
2021-10-02,-38.228955189930275,,0.15285266652790597,,-7.0908858582204335,8.099341922426312,2.8219042064545223,-45.00394130398771
2021-10-03,-75.7278218921274,,0.34746145999088185,,-6.225538426118126,28.095574355534353,3.4564997748444704,17.34234151083541
2021-10-04,-110.01379517745227,,0.5983637844474288,,-5.117836051965303,38.91814936151053,4.217595902618624,21.34669683500442
2021-10-05,-139.4228657190688,,0.9200994827260729,,-3.5548000605879335,16.373415341588007,5.089603705753638,25.092553818877846
2021-10-06,-160.80439693643712,,1.3277708664318197,,-1.70848402561665,-1.4238500771844673,6.0690283830289395,-149.79055372157853
2021-10-07,-171.56834734394215,,1.8379967102227965,,-0.01367441675064182,-3.692356748536775,7.134594827825978,-2.0323088824399544
2021-10-08,-171.65854975953698,,2.4673204426144366,,1.5196766103680908,2.480210429394636,8.251627468108145,-29.699539791490995
2021-10-09,-161.15542993228883,,3.23077364974597,,3.034421147821989,-1.1166527560667998,9.405274237737974,-3.0604596722177875
2021-10-10,-139.18875857139938,,4.143371387777734,,4.530419165315609,16.854835723148955,10.590008945807242,31.180441038434243
2021-10-11,-104.91576530993916,,5.220537003762729,,6.15800484427677,47.71032117825987,11.807625946830564,71.85219158689102
2021-10-12,-56.1601779172197,,6.478996537116473,,8.148979769715904,30.51790763773247,13.068048230286077,64.18218547746572
2021-10-13,11.511378411436453,,7.93838744686218,,10.369158214818205,4.52196532672734,14.387216516075277,57.2768333717553
2021-10-14,101.7600990307983,,9.622159701066266,,12.303925802325532,-16.964318584110476,15.756626712648098,10.282628687498022
2021-10-15,213.58115083700977,,11.554036341047322,,14.011136365688094,-16.399216742128427,17.146162575688155,76.62888775842741
2021-10-16,346.471173473401,,13.754979419638403,,15.654595655397166,2.000124252158815,18.552117548186626,10.674729072796305
2021-10-17,501.7394007127732,,16.247279843330034,,17.238042897005073,18.940630155305904,19.96392561777976,21.752493984275112
2021-10-18,680.5860177560244,,19.0537997310239,,18.969811232334994,37.18418401268605,21.3850307236644,79.60576027973515
2021-10-19,886.5438813467044,,22.199545444076648,,21.025837384454615,21.029784248638876,22.828458438467145,67.51853767170675
