,0
gamma_aVr,0.32343458432814043
gamma_sVr,0.23529035406782192
deltaVr,0.0015311903180373191
beta_aN,0.925205417055113
beta_sN,0.965074946490342
beta_aV,0.5363364529507992
beta_sV,0.5162688935967948
beta_aVr,0.46074069025039277
beta_sVr,0.4825082281009532
subr,0.9801519981408894
S0N,5390043.637528327
I_a0N,560.2084243074296
I_s0N,4201.5865512156315
R_a0N,258238.55395710855
R_s0N,441422.2978470249
D0N,27802.95161193938
Ac0,1172510.4479897544
S0V,7966954.776773676
I_a0V,1281.3119776046165
I_s0V,1335.2262972570445
R_a0V,219816.18632507185
R_s0V,740852.3862520207
D0V,9664.326675069593
D0,37485.52176743817
gamma_aN,0.23532938
gamma_sN,0.120576811
deltaN,0.002293053
gamma_aV,0.3108312877526695
gamma_sV,0.12369230227263213
deltaV,0.002197441446783494
SNf,3453557.911184393
I_aNf,831.5295346267469
I_sNf,4049.0661990179924
R_aNf,155897.85332984696
R_sNf,274729.60149028176
SVf,3530925.2244542874
I_aVf,1257.7726634127457
I_sVf,1575.2832775333154
R_aVf,100818.78331709783
R_sVf,543388.632893338
SVrf,11603322.065184746
I_aVrf,1682.1071811808852
I_sVrf,998.0363197718259
R_aVrf,43145.89865645084
R_sVrf,18143.63126547123
DNf,29020.352283040098
DVf,9855.552394218894
DVrf,132.86255474088608
Df,39016.77697019346
